nitrogen,phosphorus,potassium,ph,moisture,soil_temperature,ec,rainfall,air_temperature,air_humidity,season,season_code,soil_type,soil_type_code,crop
49.14,93.76,83.05,7.11,56.7,31.0,226,827.2,30.3,79.1,kharif,0,red,1,soybean
102.72,72.05,75.04,7.05,51.8,20.5,563,386.1,12.8,56.1,rabi,1,alluvial,2,rabi_maize
38.88,74.32,50.0,6.39,37.4,16.0,227,399.8,14.2,40.3,rabi,1,black_cotton,0,chickpea
76.84,34.89,75.73,6.95,51.4,25.4,376,921.3,25.9,56.1,kharif,0,alluvial,2,orange
111.85,76.42,110.43,6.3,53.2,20.2,362,455.5,15.2,62.2,rabi,1,alluvial,2,onion
41.05,73.81,53.49,6.13,54.2,27.1,472,624.8,34.0,61.6,kharif,0,black_cotton,0,tur_arhar
80.83,38.61,69.79,7.09,39.3,27.0,467,785.2,29.9,55.4,rabi,1,alluvial,2,orange
61.25,84.5,82.21,7.38,41.0,21.2,301,286.8,23.5,52.2,rabi,1,alluvial,2,sunflower_rabi
78.32,61.64,84.17,7.38,46.3,28.2,481,705.3,22.2,51.8,kharif,0,red,1,sunflower_kharif
141.85,95.71,62.1,6.94,55.7,21.6,302,579.3,25.8,62.8,kharif,0,alluvial,2,maize_kharif
149.3,64.53,101.33,6.86,53.8,24.9,428,590.5,29.2,60.9,kharif,0,black_cotton,0,cotton
30.59,54.32,43.87,7.54,41.6,29.9,112,621.6,27.7,46.7,kharif,0,red,1,urad
124.78,76.36,116.16,6.69,80.6,28.7,361,875.8,26.4,89.8,kharif,0,red,1,turmeric
21.98,75.54,45.36,6.49,48.3,24.8,502,770.0,24.4,73.6,kharif,0,black_cotton,0,tur_arhar
24.55,46.02,59.83,6.45,40.4,25.8,119,615.8,29.9,68.7,kharif,0,red,1,urad
28.6,78.19,39.77,6.21,50.2,25.0,213,587.6,32.5,67.2,kharif,0,black_cotton,0,tur_arhar
34.38,45.34,59.14,7.4,38.0,33.1,148,338.9,26.7,41.2,kharif,0,red,1,sesame
101.52,78.19,94.58,7.18,59.7,19.0,281,359.5,23.8,48.4,kharif,0,alluvial,2,chilli
114.4,90.54,93.13,7.42,61.4,21.2,501,533.2,13.3,59.1,rabi,1,red,1,rabi_maize
19.91,64.55,48.24,7.16,51.6,27.8,309,515.1,36.7,65.6,kharif,0,red,1,moong_kharif
101.95,78.16,94.99,6.29,47.2,35.4,309,334.9,30.1,56.1,zaid,2,alluvial,2,watermelon
43.68,94.34,75.98,7.41,54.5,30.2,327,691.4,27.9,75.1,kharif,0,red,1,soybean
134.22,74.75,67.24,6.87,48.5,34.1,647,818.3,24.9,60.7,kharif,0,black_cotton,0,cotton
61.49,53.96,34.17,6.01,27.2,29.6,214,294.7,34.3,51.6,kharif,0,laterite,3,bajra
124.21,73.85,128.49,6.73,77.6,24.1,311,876.6,25.8,77.5,kharif,0,alluvial,2,turmeric
94.13,58.72,98.06,6.17,52.2,26.3,490,492.6,26.7,79.0,kharif,0,alluvial,2,chilli
38.32,65.77,49.35,6.62,33.3,25.5,174,284.8,18.7,50.2,rabi,1,red,1,chickpea
94.66,90.72,62.82,7.0,38.5,29.6,328,500.5,30.4,41.3,kharif,0,red,1,sunflower_kharif
100.43,58.02,65.3,6.92,50.5,22.9,504,764.8,26.7,43.8,kharif,0,alluvial,2,sunflower_kharif
154.33,57.61,89.34,7.1,36.9,32.3,597,821.4,32.8,69.9,kharif,0,black_cotton,0,cotton
19.93,75.6,80.51,6.52,34.6,33.2,459,767.1,26.6,71.5,kharif,0,red,1,groundnut
94.9,64.3,102.21,6.06,49.8,31.4,435,509.4,25.9,59.2,zaid,2,alluvial,2,cucumber
118.64,55.73,73.9,6.56,95.6,26.6,437,978.4,21.9,71.5,kharif,0,laterite,3,rice
70.93,42.18,61.12,6.18,47.6,19.9,506,437.2,17.2,38.9,rabi,1,alluvial,2,mustard
103.38,58.68,105.87,6.89,48.6,32.6,952,258.9,36.9,40.4,rabi,1,black_cotton,0,pomegranate
75.1,41.3,43.8,6.37,43.1,13.2,575,215.4,8.4,37.9,rabi,1,alluvial,2,mustard
155.52,86.15,114.27,7.47,69.4,30.1,742,1465.1,37.0,76.7,rabi,1,black_cotton,0,sugarcane
76.78,62.63,82.16,7.23,54.1,23.5,626,253.6,19.4,53.2,rabi,1,alluvial,2,sunflower_rabi
27.75,77.37,58.58,6.28,42.4,21.6,153,346.6,17.1,52.4,rabi,1,alluvial,2,chickpea
78.65,43.62,58.06,6.82,28.7,16.1,316,171.5,12.9,39.3,rabi,1,red,1,mustard
46.16,70.4,68.29,7.2,47.8,26.2,448,683.5,24.5,83.9,kharif,0,black_cotton,0,soybean
125.0,49.07,83.93,6.18,93.2,22.3,456,1693.3,27.4,89.6,kharif,0,laterite,3,rice
74.53,53.89,66.07,7.43,58.4,30.6,320,351.0,23.9,76.8,kharif,0,sandy,4,cucumber
80.94,60.72,58.51,6.44,48.6,22.9,278,525.3,27.5,68.8,kharif,0,black_cotton,0,jowar_kharif
34.45,61.46,75.86,6.27,52.6,23.6,237,937.3,26.3,76.2,kharif,0,red,1,soybean
59.87,61.01,68.38,7.41,35.1,20.0,687,437.8,29.1,46.3,rabi,1,red,1,pomegranate
25.6,54.3,43.9,6.85,30.0,27.5,106,663.8,34.4,65.0,kharif,0,black_cotton,0,urad
94.61,33.76,49.98,6.24,28.3,33.9,179,405.6,38.0,28.8,kharif,0,laterite,3,bajra
20.38,64.33,48.07,6.77,55.0,31.6,508,449.8,27.2,67.1,kharif,0,red,1,urad
65.97,53.8,54.56,6.9,48.5,18.3,247,316.9,17.7,38.9,rabi,1,black_cotton,0,safflower
96.19,44.57,60.38,6.92,41.5,24.0,444,539.5,32.1,53.1,kharif,0,alluvial,2,jowar_kharif
16.9,42.0,58.8,6.25,47.7,37.6,285,667.4,38.0,64.2,kharif,0,black_cotton,0,urad
81.03,67.31,114.37,6.91,63.3,17.5,430,187.4,18.5,41.4,rabi,1,red,1,onion
168.94,90.9,101.73,7.47,68.7,22.8,717,1289.7,28.6,81.2,kharif,0,alluvial,2,sugarcane
177.44,96.95,117.67,6.64,71.7,31.8,607,934.8,34.9,87.4,rabi,1,black_cotton,0,sugarcane
25.17,60.56,40.63,7.4,36.9,34.9,146,443.8,34.2,67.0,kharif,0,alluvial,2,urad
76.97,81.72,87.36,7.06,31.0,23.1,568,529.6,35.5,49.4,rabi,1,black_cotton,0,pomegranate
102.76,75.24,110.95,6.07,56.7,25.9,182,619.3,26.2,65.1,kharif,0,black_cotton,0,chilli
28.29,35.71,37.9,5.8,42.5,34.9,264,450.9,37.3,67.0,kharif,0,black_cotton,0,urad
69.75,42.43,61.04,6.34,27.3,22.5,344,651.8,23.8,59.1,kharif,0,red,1,jowar_kharif
104.1,51.36,67.06,7.06,42.5,19.6,267,273.8,8.5,48.0,rabi,1,black_cotton,0,wheat
25.22,69.5,39.98,6.75,45.5,18.2,448,383.1,22.9,50.1,rabi,1,black_cotton,0,chickpea
40.59,52.17,35.01,6.02,37.1,25.4,273,720.0,27.6,55.3,kharif,0,alluvial,2,tur_arhar
111.22,74.64,95.49,6.72,56.7,27.4,298,430.9,15.9,65.5,zaid,2,alluvial,2,onion
87.12,35.94,44.55,7.02,26.7,28.9,299,295.7,34.0,36.7,kharif,0,sandy,4,bajra
26.03,58.64,41.39,6.06,55.0,24.9,154,528.9,25.3,70.4,kharif,0,red,1,moong_kharif
115.19,66.22,66.66,6.62,60.8,21.2,288,465.4,20.3,62.8,kharif,0,red,1,maize_kharif
109.14,80.0,116.44,5.69,56.7,28.1,445,778.2,28.6,86.8,kharif,0,laterite,3,turmeric
51.32,53.25,56.76,7.02,32.5,15.9,640,453.5,15.2,31.4,rabi,1,black_cotton,0,safflower
13.81,48.85,54.62,6.54,51.3,24.1,298,595.7,31.8,52.8,kharif,0,sandy,4,moong_kharif
130.73,52.33,58.91,6.68,50.6,19.5,393,313.7,17.1,56.4,rabi,1,alluvial,2,wheat
68.98,61.24,81.7,6.99,38.5,23.1,404,457.0,22.9,38.1,kharif,0,black_cotton,0,pomegranate
30.6,88.66,75.68,6.77,49.5,31.7,177,496.6,35.6,72.4,kharif,0,sandy,4,groundnut
25.03,80.15,60.87,7.33,41.2,29.3,493,817.7,34.7,70.3,kharif,0,alluvial,2,tur_arhar
29.67,71.24,62.24,6.3,34.8,32.5,248,575.4,36.5,60.8,kharif,0,red,1,groundnut
156.6,74.99,84.83,7.13,47.7,31.5,669,746.1,33.9,69.2,kharif,0,black_cotton,0,cotton
19.34,49.16,54.0,6.69,46.0,30.0,421,503.5,33.0,65.0,kharif,0,black_cotton,0,tur_arhar
90.8,67.1,67.3,6.14,28.9,10.5,564,399.6,11.9,46.5,rabi,1,alluvial,2,mustard
62.34,42.13,61.9,7.55,46.7,25.1,353,604.1,21.7,73.7,kharif,0,black_cotton,0,jowar_kharif
65.66,53.06,64.05,7.29,45.6,23.9,369,405.8,25.4,52.1,kharif,0,red,1,jowar_kharif
111.53,60.8,99.72,6.4,52.2,28.2,751,493.0,39.2,67.6,kharif,0,black_cotton,0,cotton
56.56,41.22,113.8,7.54,44.3,26.4,574,227.5,26.8,38.3,rabi,1,red,1,grapes
127.33,49.09,74.8,7.73,56.7,30.2,824,611.4,33.8,60.3,kharif,0,black_cotton,0,cotton
36.04,46.43,52.7,6.39,41.2,27.8,258,287.4,36.2,48.9,kharif,0,sandy,4,sesame
94.97,62.12,83.84,7.61,39.6,19.1,600,213.5,21.0,57.5,rabi,1,alluvial,2,onion
128.04,105.72,99.31,6.15,62.0,20.2,422,429.2,25.5,52.8,zaid,2,red,1,tomato
30.21,64.64,54.18,6.99,59.5,24.6,694,687.6,30.0,76.8,kharif,0,red,1,soybean
45.84,87.15,42.63,6.11,43.6,31.9,471,693.8,27.5,68.1,kharif,0,black_cotton,0,soybean
111.85,68.58,107.57,7.04,42.6,24.9,939,451.4,34.0,66.9,rabi,1,red,1,pomegranate
20.55,55.91,47.0,6.32,36.3,26.4,353,553.6,36.0,61.6,kharif,0,black_cotton,0,tur_arhar
89.63,64.91,76.39,6.56,37.9,25.1,473,532.1,31.1,65.3,kharif,0,black_cotton,0,sunflower_kharif
86.98,47.89,39.04,6.82,26.6,24.9,397,325.2,29.5,37.7,kharif,0,laterite,3,bajra
68.65,48.28,48.94,7.14,36.1,26.2,225,400.9,33.7,63.9,kharif,0,alluvial,2,jowar_kharif
32.09,64.27,42.8,6.7,59.3,30.2,547,922.9,27.9,63.1,kharif,0,black_cotton,0,soybean
35.42,59.21,51.03,6.65,44.3,26.9,185,704.1,30.6,58.2,kharif,0,red,1,tur_arhar
96.15,58.51,91.81,7.1,46.0,19.7,570,357.6,13.7,50.6,zaid,2,red,1,onion
101.05,51.41,44.54,6.5,39.0,38.7,357,291.7,39.1,48.9,kharif,0,laterite,3,bajra
122.78,57.95,89.91,7.01,57.3,27.9,541,663.1,31.6,71.7,rabi,1,alluvial,2,chilli
76.12,44.28,35.71,6.78,35.8,35.3,233,284.6,34.8,51.7,kharif,0,sandy,4,bajra
95.58,54.74,55.9,6.49,49.4,28.0,392,442.1,23.4,51.2,kharif,0,black_cotton,0,jowar_kharif
183.39,57.01,286.08,7.0,61.1,23.2,712,847.4,32.9,71.6,zaid,2,black_cotton,0,banana
83.98,69.17,49.74,6.23,32.7,22.1,328,511.2,25.5,62.7,kharif,0,alluvial,2,jowar_kharif
45.56,32.66,125.16,6.87,49.0,24.1,745,185.1,28.1,63.0,zaid,2,alluvial,2,grapes
54.4,94.88,49.33,7.28,56.0,28.2,249,807.4,31.9,78.3,kharif,0,black_cotton,0,soybean
44.6,47.8,66.2,6.95,40.4,21.7,586,432.5,14.6,36.0,rabi,1,black_cotton,0,safflower
34.14,48.6,53.52,6.64,27.7,31.2,169,528.5,25.9,72.6,kharif,0,red,1,urad
17.63,52.45,54.58,6.38,34.4,20.1,362,386.6,16.8,35.3,rabi,1,alluvial,2,moong_rabi
20.54,65.77,45.69,7.38,53.3,27.6,265,539.0,31.1,66.8,kharif,0,black_cotton,0,tur_arhar
91.03,87.14,70.71,6.75,50.2,22.5,551,479.1,22.1,36.2,rabi,1,black_cotton,0,sunflower_rabi
33.85,65.9,49.25,7.23,36.6,33.4,187,621.9,31.9,58.7,kharif,0,sandy,4,moong_kharif
149.32,71.45,76.33,6.13,64.7,26.8,537,742.7,29.9,77.4,kharif,0,red,1,maize_kharif
85.23,68.13,95.48,6.91,39.4,34.5,271,256.4,29.4,42.7,zaid,2,sandy,4,watermelon
30.02,69.01,59.13,6.56,60.2,23.9,536,968.5,31.3,70.1,kharif,0,black_cotton,0,soybean
17.41,71.01,45.49,7.13,58.0,28.3,476,726.2,27.2,74.3,kharif,0,black_cotton,0,soybean
33.44,59.64,62.43,7.56,35.5,23.0,404,353.7,18.3,38.3,rabi,1,black_cotton,0,chickpea
21.33,56.94,36.49,7.26,46.1,26.8,388,302.1,15.7,54.0,rabi,1,alluvial,2,moong_rabi
78.01,68.74,74.14,6.55,38.0,27.5,528,574.6,21.1,48.5,kharif,0,red,1,sunflower_kharif
30.41,64.28,57.51,7.2,30.0,28.7,427,767.2,26.4,52.3,kharif,0,red,1,tur_arhar
27.0,74.42,54.77,7.27,49.4,27.5,274,507.0,27.1,47.7,kharif,0,sandy,4,groundnut
50.11,41.6,52.41,6.89,45.3,30.4,143,560.3,30.8,52.8,kharif,0,red,1,sesame
31.33,49.13,57.31,7.12,48.3,32.2,133,627.6,24.1,65.8,kharif,0,red,1,tur_arhar
95.56,40.5,79.55,6.78,54.8,20.8,540,608.9,34.2,69.3,kharif,0,red,1,orange
116.53,65.51,57.1,6.47,37.6,32.8,609,609.5,28.4,46.5,kharif,0,black_cotton,0,cotton
76.31,69.65,76.85,7.15,38.4,25.2,231,632.4,29.6,64.1,kharif,0,red,1,sunflower_kharif
