soil_type,ph,nitrogen_n,phosphorus_p,potassium_k,ec,moisture,soil_temperature,ph_class,n_class,p_class,k_class,ec_class,moisture_class,overall_health
alluvial,5.97,75.9,116.0,29.7,1232,55.2,29.6,slightly_acidic,low,very_high,very_low,high_salinity,optimal,poor
red,7.0,200.0,5.3,65.2,2102,49.7,35.4,neutral,very_high,very_low,low,very_high_salinity,optimal,poor
red,6.78,251.5,29.7,74.1,291,75.1,27.1,neutral,very_high,very_low,medium,low,moist,fair
red,5.52,26.2,119.1,154.9,2261,58.6,27.2,slightly_acidic,very_low,very_high,high,very_high_salinity,optimal,poor
black_cotton,8.28,294.7,104.9,164.8,2136,13.5,24.8,slightly_alkaline,very_high,high,very_high,very_high_salinity,very_dry,fair
black_cotton,8.63,236.3,136.4,63.5,1598,87.8,41.2,strongly_alkaline,very_high,very_high,low,very_high_salinity,waterlogged,poor
alluvial,8.72,21.6,118.8,214.4,1898,90.1,27.0,strongly_alkaline,very_low,very_high,very_high,very_high_salinity,waterlogged,poor
red,7.08,123.8,23.7,177.8,111,93.6,11.7,neutral,high,very_low,very_high,very_low,waterlogged,fair
black_cotton,7.86,229.2,63.4,60.0,1300,55.7,25.6,slightly_alkaline,very_high,medium,low,high_salinity,optimal,fair
laterite,8.2,198.1,24.9,119.2,122,48.7,21.3,slightly_alkaline,very_high,very_low,high,very_low,optimal,fair
laterite,7.09,23.3,70.0,168.5,1909,7.4,10.3,neutral,very_low,medium,very_high,very_high_salinity,very_dry,fair
black_cotton,7.5,142.5,121.6,214.5,330,82.0,17.7,slightly_alkaline,high,very_high,very_high,low,waterlogged,good
red,7.97,30.4,27.2,10.4,2399,26.0,26.0,slightly_alkaline,very_low,very_low,very_low,very_high_salinity,dry,very_poor
laterite,8.85,175.1,103.9,94.7,1305,58.8,38.3,strongly_alkaline,high,high,medium,high_salinity,optimal,good
laterite,7.3,92.0,42.3,102.6,538,58.3,12.3,neutral,medium,low,medium,normal,optimal,good
black_cotton,7.81,7.6,93.9,28.5,574,12.5,23.6,slightly_alkaline,very_low,high,very_low,normal,very_dry,fair
black_cotton,8.78,118.4,67.1,110.0,1763,74.2,16.2,strongly_alkaline,medium,medium,high,very_high_salinity,moist,fair
laterite,8.3,88.6,126.4,23.5,1347,33.4,16.2,slightly_alkaline,medium,very_high,very_low,high_salinity,dry,fair
alluvial,8.87,227.7,140.0,107.8,1893,75.3,26.8,strongly_alkaline,very_high,very_high,medium,very_high_salinity,moist,poor
sandy,6.91,290.9,39.4,213.6,2198,80.9,31.1,neutral,very_high,low,very_high,very_high_salinity,waterlogged,fair
black_cotton,5.73,35.4,23.6,204.8,1764,24.1,36.4,slightly_acidic,very_low,very_low,very_high,very_high_salinity,dry,very_poor
sandy,7.02,204.7,12.7,9.8,1824,57.8,30.5,neutral,very_high,very_low,very_low,very_high_salinity,optimal,poor
red,5.72,52.5,135.8,18.0,1328,61.2,40.6,slightly_acidic,low,very_high,very_low,high_salinity,moist,poor
black_cotton,8.46,93.6,53.5,144.1,1863,5.5,24.4,slightly_alkaline,medium,low,high,very_high_salinity,very_dry,fair
red,6.73,237.5,77.0,181.3,1120,14.9,22.0,neutral,very_high,medium,very_high,high_salinity,very_dry,fair
red,4.67,236.6,114.0,180.8,2347,62.0,36.4,strongly_acidic,very_high,very_high,very_high,very_high_salinity,moist,poor
sandy,8.51,30.9,11.1,219.8,1846,51.0,12.3,strongly_alkaline,very_low,very_low,very_high,very_high_salinity,optimal,very_poor
