crop,growth_stage,soil_type,nitrogen_n,phosphorus_p,potassium_k,n_status,p_status,k_status,moisture,soil_temperature,land_area_acres,fertilizer_name,dose_kg_per_acre,total_dose_kg,application_timing,notes
jowar_rabi,pre_sowing,alluvial,62.9,55.1,150.5,medium,medium,high,22.3,33.6,4.7,DAP + MOP,15.0,70.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P and K basal
bajra,pre_sowing,red,106.9,95.1,126.9,high,high,high,54.8,32.3,5.2,DAP,12.0,62.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
moong_rabi,pre_sowing,black_cotton,38.4,111.2,141.0,low,high,high,29.6,32.5,4.3,SSP + MOP,5.4,23.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif moong
tomato,grain_fill,red,233.6,116.4,54.8,high,high,medium,68.0,24.3,8.3,MOP + CaNO3,18.0,149.4,Foliar spray or side dress during grain/fruit development,Fruit development + Ca
wheat,pre_sowing,red,149.2,113.3,98.0,high,high,medium,61.2,25.8,8.6,DAP + MOP,21.0,180.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P+K; half N
chickpea,germination,black_cotton,61.4,62.1,161.6,medium,medium,high,20.9,24.8,2.9,Rhizobium Biofert,5.0,14.5,Apply at sowing time or within first 7 DAS,Seed inoculation
moong_rabi,pre_sowing,laterite,25.9,88.5,29.2,low,high,low,56.4,30.7,7.4,SSP + MOP,13.5,99.9,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif moong
banana,flowering,alluvial,57.0,29.7,29.0,medium,low,low,77.4,29.5,2.4,Urea + MOP,56.2,134.9,Apply at flower bud initiation; avoid leaf contact,Bunch initiation
sesame,pre_sowing,black_cotton,60.1,24.1,138.0,medium,low,high,46.4,25.1,0.9,DAP,21.6,19.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
tur_arhar,vegetative,red,242.5,93.9,138.7,high,high,high,30.3,25.4,3.8,Urea,6.0,22.8,Top dress at 20-30 DAS; broadcast and irrigate,Light N if pale
pomegranate,grain_fill,sandy,47.6,96.2,187.9,medium,high,high,43.7,21.9,3.6,MOP + Calcium,12.5,45.0,Foliar spray or side dress during grain/fruit development,Fruit development
safflower,flowering,laterite,16.0,82.9,36.1,low,high,low,31.0,31.2,8.9,Urea,13.0,115.7,Apply at flower bud initiation; avoid leaf contact,Capitulum stage
soybean,grain_fill,red,86.8,62.8,35.6,medium,medium,low,69.6,24.0,7.4,Micronutrient Mix,5.0,37.0,Foliar spray or side dress during grain/fruit development,Zinc + Boron foliar spray
groundnut,grain_fill,laterite,178.4,65.8,143.5,high,medium,high,55.4,36.4,6.8,MOP,5.0,34.0,Foliar spray or side dress during grain/fruit development,Kernel filling
sunflower_rabi,vegetative,alluvial,177.7,44.2,107.5,high,low,high,73.0,13.2,8.9,Urea,10.8,96.1,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
bajra,pre_sowing,alluvial,266.6,51.4,78.7,high,medium,medium,35.5,16.9,5.1,DAP,20.0,102.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
urad,pre_sowing,red,59.1,33.3,139.3,medium,low,high,42.8,36.8,6.4,SSP + MOP,10.8,69.1,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P+K
sugarcane,pre_sowing,laterite,231.6,96.6,179.9,high,high,high,57.0,24.5,2.0,DAP + MOP,15.0,30.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Heavy feeder; high basal
tomato,grain_fill,sandy,123.6,21.3,40.2,high,low,low,59.4,31.3,4.8,MOP + CaNO3,22.5,108.0,Foliar spray or side dress during grain/fruit development,Fruit development + Ca
rabi_maize,vegetative,black_cotton,67.5,33.1,30.8,medium,low,low,49.1,34.8,4.6,Urea,25.0,115.0,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
turmeric,grain_fill,laterite,22.0,27.2,150.2,low,low,high,24.2,20.4,6.4,MOP,10.0,64.0,Foliar spray or side dress during grain/fruit development,Curcumin synthesis
rice,vegetative,laterite,164.3,81.0,144.8,high,high,high,69.7,34.6,1.1,Urea,13.2,14.5,Top dress at 20-30 DAS; broadcast and irrigate,25-30 DAS tillering
rabi_maize,pre_sowing,sandy,226.1,32.1,178.0,high,low,high,74.4,13.6,8.2,DAP + MOP,21.0,172.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif maize
tur_arhar,vegetative,red,110.7,39.9,37.6,high,low,low,57.1,30.8,4.6,Urea,6.0,27.6,Top dress at 20-30 DAS; broadcast and irrigate,Light N if pale
banana,vegetative,sandy,114.2,39.1,27.2,high,low,low,23.6,17.0,4.7,Urea + MOP,37.5,176.2,Top dress at 20-30 DAS; broadcast and irrigate,Sword sucker stage
turmeric,pre_sowing,sandy,173.4,40.9,63.2,high,low,medium,43.9,29.7,7.7,DAP + MOP,48.0,369.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
linseed,pre_sowing,alluvial,198.8,111.3,36.1,high,high,low,31.8,24.3,6.3,DAP + MOP,15.0,94.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
